"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\JuliaLind\Desktop\school\L2\src\CurrencyCoverter.js", "JavaScript", 70, 58, 20, 148
"c:\Users\JuliaLind\Desktop\school\L2\src\QuoteConverter.js", "JavaScript", 61, 54, 14, 129
"c:\Users\JuliaLind\Desktop\school\L2\src\RateFetcher.js", "JavaScript", 38, 58, 13, 109
"c:\Users\JuliaLind\Desktop\school\L2\src\index.js", "JavaScript", 4, 0, 2, 6
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\DataFormatter.js", "JavaScript", 35, 24, 10, 69
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\DataReader.js", "JavaScript", 18, 28, 6, 52
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\FormatHelper.js", "JavaScript", 59, 67, 20, 146
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\JsonFetchService.js", "JavaScript", 31, 26, 9, 66
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\RateNormalizer.js", "JavaScript", 36, 41, 12, 89
"c:\Users\JuliaLind\Desktop\school\L2\src\lib\functions.js", "JavaScript", 7, 15, 3, 25
"Total", "-", 359, 371, 109, 839